STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC  : Min,TEMPERATURE ºC  : Max,TEMPERATURE ºC  : Mean,D.O. (mg/l)  : Min  : > 4 mg/l,D.O. (mg/l)  : Max  : > 4 mg/l,D.O. (mg/l)  : Mean  : > 4 mg/l,pH  : Min  : 6.5-8.5,pH  : Max  : 6.5-8.5,pH  : Mean  : 6.5-8.5,CONDUCTIVITY (µmhos/cm)  : Min,CONDUCTIVITY (µmhos/cm)  : Max,CONDUCTIVITY (µmhos/cm)  : Mean,B.O.D. (mg/l)  : Min  : < 3 mg/l,B.O.D. (mg/l)  : Max  : < 3 mg/l,B.O.D. (mg/l)  : Mean  : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l)  : Min,NITRATE- N+ NITRITE-N (mg/l)  : Max,NITRATE- N+ NITRITE-N (mg/l)  : Mean,FECAL COLIFORM (MPN/100ml)  : Min  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Max  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Mean  : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Min  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Max  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Mean  : < 5000 MPN/100ml
1885,RIVER GHAGGAR AT D/S OF SURAJPUR,HARYANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB,12,28,22.7,5.2,6.3,5.8,7.1,7.2,7.2,550,710,640,5,7,6,3.2,5.2,4.3,150,2200,1450,720,6000,4073
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,10,28,19,4,5.6,4.8,7.4,7.7,7.6,1022,1158,1090,22,22,22,3.4,3.8,3.6,11000,50000,30500,35000,70000,52500
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB,12,30,23,5,6.2,5.5,7.2,7.3,7.3,690,732,705,8,12,10,3.4,6,5,460,3500,2020,900,9000,5433
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",PUNJAB,10,35,24,4.5,5.9,5.1,7.3,7.6,7.4,1021,1681,1375,19,27,23.7,3.4,9.4,5.9,11000,55000,27333,21000,75000,50333
1698,"D/S CHHATBIR, PUNJAB",PUNJAB,13,31,24.7,4.9,6.4,5.5,7.3,7.4,7.4,710,762,745,5,13,10,4.4,7.2,6.1,1500,21000,12167,5000,55000,29333
1699,"U/S DHAKANSU NALLAH, PUNJAB",PUNJAB,13,32,25,4.4,6.1,5,7.5,7.6,7.6,891,1069,975,14,19,16.3,5.4,7,6.1,7500,15000,11167,9000,35000,21667
1700,"D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,13,31,22,4,5.7,4.9,7.6,7.7,7.7,1260,1510,1385,18,37,27.5,7.6,7.8,7.7,35000,50000,42500,64000,80000,72000
1701,"D/S JHARMAL NADI, PUNJAB",PUNJAB,13,30,24.3,4.6,5.7,5,6.9,7.5,7.3,862,1466,1067,18,22,19.3,4.6,7.4,6.2,1400,40000,21467,2600,70000,39533
1702,"U/S JHARMAL NADI, PUNJAB",PUNJAB,12,30,23.3,4.9,6,5.3,7,7.4,7.2,792,1324,970,13,14,13.3,5.2,7.2,5.9,700,6000,3167,1400,11000,7133
