Source,pH,TDS,Classification
water_potability,,366.80062523,Safe
water_potability,3.716080075,385.375483415,Unsafe
water_potability,8.099124189,272.094038515,Safe
water_potability,8.316765884,236.12323553,Safe
water_potability,9.092223456,258.96702871,Unsafe
water_potability,5.584086638,182.304145335,Unsafe
water_potability,10.22386216,184.373561775,Unsafe
water_potability,8.635848719,308.494969185,Unsafe
water_potability,,253.094117835,Safe
water_potability,11.18028447,366.525562975,Unsafe
water_potability,7.360640106,276.499222675,Safe
water_potability,7.974521649,236.663849825,Safe
water_potability,7.119824384,226.014767745,Safe
water_potability,,246.84519262,Safe
water_potability,7.496232208,289.01947899500004,Safe
water_potability,6.347271761,335.88313323500006,Unsafe
water_potability,7.0517858,204.84182368,Safe
water_potability,9.181560007,310.683517235,Unsafe
water_potability,8.975464348,280.4385935,Unsafe
water_potability,7.371050302,305.44445847500003,Safe
water_potability,,360.633056225,Safe
water_potability,6.660212026,340.386343375,Safe
water_potability,,283.56652610000003,Safe
water_potability,3.902475686,288.91127362500004,Unsafe
water_potability,5.400301781,307.368147645,Unsafe
water_potability,6.514415093,268.638792565,Safe
water_potability,3.445061864,287.160819205,Unsafe
water_potability,,194.343933225,Safe
water_potability,,236.91206935500003,Safe
water_potability,,366.473083145,Safe
water_potability,7.181448581,222.372336095,Safe
water_potability,9.825489908,294.343552685,Unsafe
water_potability,10.43329098,268.44144197,Unsafe
water_potability,7.414148196,267.78918673,Safe
water_potability,,249.58811995,Safe
water_potability,5.115817064,287.136446545,Unsafe
water_potability,3.641629777,296.959062335,Unsafe
water_potability,5.618064406,259.656518095,Unsafe
water_potability,,277.634936475,Safe
water_potability,9.267187531,257.97001691500003,Unsafe
water_potability,,227.109761125,Safe
water_potability,5.331940479,217.82825896,Unsafe
water_potability,7.145771545,215.821259095,Safe
water_potability,9.920691059,216.575105435,Unsafe
water_potability,4.758439425,262.56370933,Unsafe
water_potability,5.702925977,328.01486926,Unsafe
water_potability,6.953864226,254.269804815,Safe
water_potability,10.68296643,210.47514358,Unsafe
water_potability,,305.713959525,Safe
water_potability,8.757257397,263.06656948,Unsafe
water_potability,,249.466763,Safe
water_potability,7.809631898,393.39308086000005,Safe
water_potability,6.652488091,354.88374597,Safe
water_potability,9.147197055,343.0107915,Unsafe
water_potability,10.56074464,296.761661365,Unsafe
water_potability,7.484254838,263.036005245,Safe
water_potability,8.520806573,312.857221755,Unsafe
water_potability,4.999413811,263.4648133,Unsafe
water_potability,,234.647396425,Safe
water_potability,,188.617639015,Safe
water_potability,3.906078355,175.14188328,Unsafe
water_potability,6.391353624,240.069778585,Unsafe
water_potability,,192.65840568,Safe
water_potability,8.692092013,258.9245217,Unsafe
water_potability,8.085759801,270.555759565,Safe
water_potability,6.203977702,235.370202795,Unsafe
water_potability,5.058108869,435.32130603,Unsafe
water_potability,,315.883425325,Safe
water_potability,,216.6644012,Safe
water_potability,7.261550522,325.768807455,Safe
water_potability,7.160467231,278.22362386000003,Safe
water_potability,5.704764776,327.84614265,Unsafe
water_potability,6.217273135,361.8249115,Unsafe
water_potability,8.67993497,229.41268226500003,Unsafe
water_potability,,276.38882362000004,Safe
water_potability,6.897322141,248.95930163000003,Safe
water_potability,3.514545529,199.7964423,Unsafe
water_potability,3.722500486,303.915932385,Unsafe
water_potability,6.455004797,310.42787503,Unsafe
water_potability,7.316804754,276.84371013000003,Safe
water_potability,1.844538366,266.75172147,Unsafe
water_potability,5.519125656,288.320741865,Unsafe
water_potability,7.408985467,327.694896165,Safe
water_potability,5.976769618,334.177298065,Unsafe
water_potability,6.395359132,372.710191815,Unsafe
water_potability,6.20964226,271.2070764,Unsafe
water_potability,6.762832522,302.51895349,Safe
water_potability,9.918717064,279.830009485,Unsafe
water_potability,10.15544017,316.84843515,Unsafe
water_potability,8.721726711,329.50992925500003,Unsafe
water_potability,,373.82455136,Safe
water_potability,,273.46123428,Safe
water_potability,6.099646705,189.21814379,Unsafe
water_potability,9.02678772,382.407772825,Unsafe
water_potability,6.953371603,358.24316918000005,Safe
water_potability,6.140877557,356.24729484500006,Unsafe
water_potability,7.077874007,216.483010835,Safe
water_potability,5.488314309,286.86523937500004,Unsafe
water_potability,7.205559175,271.981638435,Safe
water_potability,9.177869866,277.54635558,Unsafe
water_potability,4.270716195,227.18729176,Unsafe
water_potability,7.348844512,321.20298216500004,Safe
water_potability,8.52616987,308.25631349500003,Unsafe
water_potability,,383.98671168,Safe
water_potability,2.612035915,304.25217329000003,Unsafe
water_potability,8.490571562,282.75058389500003,Safe
water_potability,,301.20925061500003,Safe
water_potability,8.858401531,223.797185625,Unsafe
water_potability,6.098156521,159.80876080000002,Unsafe
water_potability,8.419970682,301.37073031,Safe
water_potability,9.286155021,229.931065,Unsafe
water_potability,7.875895135,289.49319581000003,Safe
water_potability,7.725332908,220.617362355,Safe
water_potability,3.388090611,230.04340281,Unsafe
water_potability,6.745306715,242.48256604,Safe
water_potability,,171.45174377499998,Safe
water_potability,7.183825723,188.77549496000003,Safe
water_potability,10.1119767,261.97717656500004,Unsafe
water_potability,7.397413299,318.40354026,Safe
water_potability,7.812804388,287.654753425,Safe
water_potability,6.877456933,222.42762529000004,Safe
water_potability,,304.81425962000003,Safe
water_potability,,178.52938779000002,Safe
water_potability,7.521051679,328.71109160500004,Safe
water_potability,8.550875469,280.9854255,Unsafe
water_potability,10.30847766,248.91847812,Unsafe
water_potability,,302.39080339000003,Safe
water_potability,7.371085073,236.05954996,Safe
water_potability,11.18069466,327.632850415,Unsafe
water_potability,6.506487767,313.151757295,Safe
water_potability,6.643935775,284.64085338,Safe
water_potability,5.03377399,325.41426203000003,Unsafe
water_potability,6.912607562,285.77123328,Safe
water_potability,7.977635991,307.88059432,Safe
water_potability,6.078335837,234.03931031,Unsafe
water_potability,6.242414484,291.357642355,Unsafe
water_potability,6.06335479,212.725655155,Unsafe
water_potability,8.129585514,258.06392794,Safe
water_potability,9.562405944,281.698083355,Unsafe
water_potability,8.167792632,341.639211875,Safe
water_potability,8.594416135,437.16204948,Unsafe
water_potability,,368.1205411,Safe
water_potability,6.825467901,242.727703075,Safe
water_potability,7.861177701,305.16652478000003,Safe
water_potability,4.96577356,251.16866547500004,Unsafe
water_potability,6.207432968,346.96730302000003,Unsafe
water_potability,,319.09131293,Safe
water_potability,9.769251006,229.57770907500003,Unsafe
water_potability,9.63066548,271.158597385,Unsafe
water_potability,5.187471605,239.73002859,Unsafe
water_potability,7.633570088,273.34721167000004,Safe
water_potability,5.77119905,203.906257295,Unsafe
water_potability,6.579969329,165.35562914000002,Safe
water_potability,4.801154368,381.806757605,Unsafe
water_potability,7.948815718,282.52604809,Safe
water_potability,6.906992172,231.698438985,Safe
water_potability,,256.972153945,Safe
water_potability,,259.526383285,Safe
water_potability,8.461330874,310.27318959,Safe
water_potability,7.726134808,306.96834590500004,Safe
water_potability,,285.262753815,Safe
water_potability,8.927078148,247.12818,Unsafe
water_potability,6.20801554,312.777187775,Unsafe
water_potability,6.128425635,269.755678985,Unsafe
water_potability,,270.78278877,Safe
water_potability,7.308048848,270.14473057000004,Safe
water_potability,,335.00138230000005,Safe
water_potability,8.640886409,201.48913642,Unsafe
water_potability,,313.51453562,Safe
water_potability,8.153210075,317.14041268,Safe
water_potability,8.29372011,259.66435378,Safe
water_potability,,216.279431225,Safe
water_potability,,224.09915086000004,Safe
water_potability,9.489972878,180.680545305,Unsafe
water_potability,7.830976343,329.839567395,Safe
water_potability,4.430281212,282.607823615,Unsafe
water_potability,7.240739639,376.4932561650001,Safe
water_potability,,163.163584155,Safe
water_potability,6.867301322,314.679910285,Safe
water_potability,6.129637015,221.902574855,Unsafe
water_potability,7.917049443,233.20812853,Safe
water_potability,6.511618075,308.971877955,Safe
water_potability,5.323815584,377.58350526,Unsafe
water_potability,6.769572869,188.202599065,Safe
water_potability,5.87797404,350.02201286,Unsafe
water_potability,9.534021716,168.76392201500002,Unsafe
water_potability,6.340027628,283.075297115,Unsafe
water_potability,8.66159243,332.980251565,Unsafe
water_potability,5.653506135,177.086362895,Unsafe
water_potability,6.626012184,212.71125109,Safe
water_potability,7.793833573,241.29103245,Safe
water_potability,7.59312765,251.959221995,Safe
water_potability,7.362736502,272.51799126500003,Safe
water_potability,9.320305445,324.89870861500003,Unsafe
water_potability,3.719791644,277.87235528,Unsafe
water_potability,6.655605026,218.94044562,Safe
water_potability,9.868877881,275.79034002000003,Unsafe
water_potability,5.590614436,305.11850876,Unsafe
water_potability,5.554436511,199.4671419,Unsafe
water_potability,4.126528715,289.406946985,Unsafe
water_potability,5.970035657,213.0613173,Unsafe
water_potability,,291.74992366000004,Safe
water_potability,8.369154354,320.752535935,Safe
water_potability,6.284248242,256.91969121,Unsafe
water_potability,11.26782838,205.748316215,Unsafe
water_potability,9.298018008,259.66028257,Unsafe
water_potability,7.895469246,265.02594118,Safe
water_potability,7.947485786,276.6580791,Safe
water_potability,10.02615916,336.38334697500005,Unsafe
water_potability,6.48819324,210.931396585,Unsafe
water_potability,5.869736755,302.65071252,Unsafe
water_potability,,248.42859535,Safe
water_potability,5.30414266,323.563753825,Unsafe
water_potability,7.533614823,236.27912379500003,Safe
water_potability,4.077607725,187.437375515,Unsafe
water_potability,,233.27769894,Safe
water_potability,7.086168401,260.587827305,Safe
water_potability,6.271012171,353.20463334000004,Unsafe
water_potability,7.957768344,334.3741193,Safe
water_potability,8.875642278,308.60213735,Unsafe
water_potability,,300.561591915,Safe
water_potability,6.613709118,243.60070527,Safe
water_potability,7.735705022,386.9640212750001,Safe
water_potability,9.925041328,263.835119665,Unsafe
water_potability,9.00258311,238.219623655,Unsafe
water_potability,5.095766465,334.020426545,Unsafe
water_potability,8.594677108,382.754276385,Unsafe
water_potability,7.083779061,282.58601501000004,Safe
water_potability,7.682872498,305.393156575,Safe
water_potability,,269.88762749,Safe
water_potability,6.419772474,340.34011414,Unsafe
water_potability,4.443238899,279.20410245000005,Unsafe
water_potability,6.978664262,305.551158445,Safe
water_potability,6.623613566,266.65811087500003,Safe
water_potability,3.664710562,189.246491785,Unsafe
water_potability,4.814135621,269.11996085,Unsafe
water_potability,5.779673705,278.559611525,Unsafe
water_potability,6.937818783,285.7562487,Safe
water_potability,7.436782609,339.8159245,Safe
water_potability,4.723312573,267.34176599,Unsafe
water_potability,9.380658051,327.06090001,Unsafe
water_potability,7.810144933,228.270952585,Safe
water_potability,9.436637164,305.344863005,Unsafe
water_potability,9.406325753,226.189000895,Unsafe
water_potability,6.321259315,319.64745358,Unsafe
water_potability,,265.99350472500004,Safe
water_potability,4.705356496,240.61580816,Unsafe
water_potability,8.896418988,276.397460105,Unsafe
water_potability,6.581878202,228.45994561,Safe
water_potability,6.755145902,250.324521005,Safe
water_potability,9.445129838,385.22836365000006,Unsafe
water_potability,9.024845037,293.24326265,Unsafe
water_potability,,309.12281556,Safe
water_potability,6.80011909,244.696785515,Safe
water_potability,7.174135163,205.107435,Safe
water_potability,7.657991237,270.805722785,Safe
water_potability,8.322986672,233.17181472,Safe
water_potability,5.934279093,180.299949245,Unsafe
water_potability,9.802720782,333.07867502000005,Unsafe
water_potability,6.101955231,271.598309255,Unsafe
water_potability,4.997770601,193.447501,Unsafe
water_potability,4.815766791,312.962538395,Unsafe
water_potability,6.548020558,323.25913932000003,Safe
water_potability,13.17540172,325.15986867000004,Unsafe
water_potability,6.618010906,261.08536389,Safe
water_potability,7.788054733,233.719902975,Safe
water_potability,5.191834327,252.665776675,Unsafe
water_potability,5.626339528,225.25958416000003,Unsafe
water_potability,6.869638941,350.653469985,Safe
water_potability,9.058628424,301.2030164,Unsafe
water_potability,7.291888325,285.77206359,Safe
water_potability,7.275908774,242.67470019,Safe
water_potability,6.512737124,311.67583109,Safe
water_potability,7.207886781,304.56583872,Safe
water_potability,,409.032810875,Safe
water_potability,5.324941856,255.07397227,Unsafe
water_potability,7.082300649,229.469747195,Safe
water_potability,5.33418358,234.116465245,Unsafe
water_potability,10.7618978,255.25765317,Unsafe
water_potability,6.286806948,366.232603815,Unsafe
water_potability,9.794558699,277.63056646,Unsafe
water_potability,8.210443565,254.19476784000005,Safe
water_potability,6.941719438,243.41546606,Safe
water_potability,10.35611883,237.718189475,Unsafe
water_potability,7.958984292,212.95552265,Safe
water_potability,3.882631081,221.839225595,Unsafe
water_potability,5.671773833,242.14790782,Unsafe
water_potability,10.00330054,373.460776845,Unsafe
water_potability,6.552847474,310.15653942,Safe
water_potability,7.628552723,322.378540965,Safe
water_potability,4.79084054,395.750456595,Unsafe
water_potability,7.710959939,335.584653885,Safe
water_potability,8.291299006,309.340934435,Safe
water_potability,6.193170101,253.11388544,Unsafe
water_potability,9.032660579,253.927196965,Unsafe
water_potability,6.139493741,270.55523339,Unsafe
water_potability,7.12942473,210.14429488,Safe
water_potability,,331.114433975,Safe
water_potability,5.418503763,295.43819214,Unsafe
water_potability,8.075494508,209.136420285,Safe
