Source,pH,TDS,Classification
water_potability,,366.8006252,Safe
water_potability,3.716080075,385.3754834,Unsafe
water_potability,8.099124189,272.0940385,Safe
water_potability,8.316765884,236.1232355,Safe
water_potability,9.092223456,258.9670287,Unsafe
water_potability,5.584086638,182.3041453,Unsafe
water_potability,10.22386216,184.3735618,Unsafe
water_potability,8.635848719,308.4949692,Unsafe
water_potability,,253.0941178,Safe
water_potability,11.18028447,366.525563,Unsafe
water_potability,7.360640106,276.4992227,Safe
water_potability,7.974521649,236.6638498,Safe
water_potability,7.119824384,226.0147677,Safe
water_potability,,246.8451926,Safe
water_potability,7.496232208,289.019479,Safe
water_potability,6.347271761,335.8831332,Unsafe
water_potability,7.0517858,204.8418237,Safe
water_potability,9.181560007,310.6835172,Unsafe
water_potability,8.975464348,280.4385935,Unsafe
water_potability,7.371050302,305.4444585,Safe
water_potability,,360.6330562,Safe
water_potability,6.660212026,340.3863434,Safe
water_potability,,283.5665261,Safe
water_potability,3.902475686,288.9112736,Unsafe
water_potability,5.400301781,307.3681476,Unsafe
water_potability,6.514415093,268.6387926,Safe
water_potability,3.445061864,287.1608192,Unsafe
water_potability,,194.3439332,Safe
water_potability,,236.9120694,Safe
water_potability,,366.4730831,Safe
water_potability,7.181448581,222.3723361,Safe
water_potability,9.825489908,294.3435527,Unsafe
water_potability,10.43329098,268.441442,Unsafe
water_potability,7.414148196,267.7891867,Safe
water_potability,,249.58812,Safe
water_potability,5.115817064,287.1364465,Unsafe
water_potability,3.641629777,296.9590623,Unsafe
water_potability,5.618064406,259.6565181,Unsafe
water_potability,,277.6349365,Safe
water_potability,9.267187531,257.9700169,Unsafe
water_potability,,227.1097611,Safe
water_potability,5.331940479,217.828259,Unsafe
water_potability,7.145771545,215.8212591,Safe
water_potability,9.920691059,216.5751054,Unsafe
water_potability,4.758439425,262.5637093,Unsafe
water_potability,5.702925977,328.0148693,Unsafe
water_potability,6.953864226,254.2698048,Safe
water_potability,10.68296643,210.4751436,Unsafe
water_potability,,305.7139595,Safe
water_potability,8.757257397,263.0665695,Unsafe
water_potability,,249.466763,Safe
water_potability,7.809631898,393.3930809,Safe
water_potability,6.652488091,354.883746,Safe
water_potability,9.147197055,343.0107915,Unsafe
water_potability,10.56074464,296.7616614,Unsafe
water_potability,7.484254838,263.0360052,Safe
water_potability,8.520806573,312.8572218,Unsafe
water_potability,4.999413811,263.4648133,Unsafe
water_potability,,234.6473964,Safe
water_potability,,188.617639,Safe
water_potability,3.906078355,175.1418833,Unsafe
water_potability,6.391353624,240.0697786,Unsafe
water_potability,,192.6584057,Safe
water_potability,8.692092013,258.9245217,Unsafe
water_potability,8.085759801,270.5557596,Safe
water_potability,6.203977702,235.3702028,Unsafe
water_potability,5.058108869,435.321306,Unsafe
water_potability,,315.8834253,Safe
water_potability,,216.6644012,Safe
water_potability,7.261550522,325.7688075,Safe
water_potability,7.160467231,278.2236239,Safe
water_potability,5.704764776,327.8461427,Unsafe
water_potability,6.217273135,361.8249115,Unsafe
water_potability,8.67993497,229.4126823,Unsafe
water_potability,,276.3888236,Safe
water_potability,6.897322141,248.9593016,Safe
water_potability,3.514545529,199.7964423,Unsafe
water_potability,3.722500486,303.9159324,Unsafe
water_potability,6.455004797,310.427875,Unsafe
water_potability,7.316804754,276.8437101,Safe
water_potability,1.844538366,266.7517215,Unsafe
water_potability,5.519125656,288.3207419,Unsafe
water_potability,7.408985467,327.6948962,Safe
water_potability,5.976769618,334.1772981,Unsafe
water_potability,6.395359132,372.7101918,Unsafe
water_potability,6.20964226,271.2070764,Unsafe
water_potability,6.762832522,302.5189535,Safe
water_potability,9.918717064,279.8300095,Unsafe
water_potability,10.15544017,316.8484352,Unsafe
water_potability,8.721726711,329.5099293,Unsafe
water_potability,,373.8245514,Safe
water_potability,,273.4612343,Safe
water_potability,6.099646705,189.2181438,Unsafe
water_potability,9.02678772,382.4077728,Unsafe
water_potability,6.953371603,358.2431692,Safe
water_potability,6.140877557,356.2472948,Unsafe
water_potability,7.077874007,216.4830108,Safe
water_potability,5.488314309,286.8652394,Unsafe
water_potability,7.205559175,271.9816384,Safe
water_potability,9.177869866,277.5463556,Unsafe
water_potability,4.270716195,227.1872918,Unsafe
water_potability,7.348844512,321.2029822,Safe
water_potability,8.52616987,308.2563135,Unsafe
water_potability,,383.9867117,Safe
water_potability,2.612035915,304.2521733,Unsafe
water_potability,8.490571562,282.7505839,Safe
water_potability,,301.2092506,Safe
water_potability,8.858401531,223.7971856,Unsafe
water_potability,6.098156521,159.8087608,Unsafe
water_potability,8.419970682,301.3707303,Safe
water_potability,9.286155021,229.931065,Unsafe
water_potability,7.875895135,289.4931958,Safe
water_potability,7.725332908,220.6173624,Safe
water_potability,3.388090611,230.0434028,Unsafe
water_potability,6.745306715,242.482566,Safe
water_potability,,171.4517438,Safe
water_potability,7.183825723,188.775495,Safe
water_potability,10.1119767,261.9771766,Unsafe
water_potability,7.397413299,318.4035403,Safe
water_potability,7.812804388,287.6547534,Safe
water_potability,6.877456933,222.4276253,Safe
water_potability,,304.8142596,Safe
water_potability,,178.5293878,Safe
water_potability,7.521051679,328.7110916,Safe
water_potability,8.550875469,280.9854255,Unsafe
water_potability,10.30847766,248.9184781,Unsafe
water_potability,,302.3908034,Safe
water_potability,7.371085073,236.05955,Safe
water_potability,11.18069466,327.6328504,Unsafe
water_potability,6.506487767,313.1517573,Safe
water_potability,6.643935775,284.6408534,Safe
water_potability,5.03377399,325.414262,Unsafe
water_potability,6.912607562,285.7712333,Safe
water_potability,7.977635991,307.8805943,Safe
water_potability,6.078335837,234.0393103,Unsafe
water_potability,6.242414484,291.3576424,Unsafe
water_potability,6.06335479,212.7256552,Unsafe
water_potability,8.129585514,258.0639279,Safe
water_potability,9.562405944,281.6980834,Unsafe
water_potability,8.167792632,341.6392119,Safe
water_potability,8.594416135,437.1620495,Unsafe
water_potability,,368.1205411,Safe
water_potability,6.825467901,242.7277031,Safe
water_potability,7.861177701,305.1665248,Safe
water_potability,4.96577356,251.1686655,Unsafe
water_potability,6.207432968,346.967303,Unsafe
water_potability,,319.0913129,Safe
water_potability,9.769251006,229.5777091,Unsafe
water_potability,9.63066548,271.1585974,Unsafe
water_potability,5.187471605,239.7300286,Unsafe
water_potability,7.633570088,273.3472117,Safe
water_potability,5.77119905,203.9062573,Unsafe
water_potability,6.579969329,165.3556291,Safe
water_potability,4.801154368,381.8067576,Unsafe
water_potability,7.948815718,282.5260481,Safe
water_potability,6.906992172,231.698439,Safe
water_potability,,256.9721539,Safe
water_potability,,259.5263833,Safe
water_potability,8.461330874,310.2731896,Safe
water_potability,7.726134808,306.9683459,Safe
water_potability,,285.2627538,Safe
water_potability,8.927078148,247.12818,Unsafe
water_potability,6.20801554,312.7771878,Unsafe
water_potability,6.128425635,269.755679,Unsafe
water_potability,,270.7827888,Safe
water_potability,7.308048848,270.1447306,Safe
water_potability,,335.0013823,Safe
water_potability,8.640886409,201.4891364,Unsafe
water_potability,,313.5145356,Safe
water_potability,8.153210075,317.1404127,Safe
water_potability,8.29372011,259.6643538,Safe
water_potability,,216.2794312,Safe
water_potability,,224.0991509,Safe
water_potability,9.489972878,180.6805453,Unsafe
water_potability,7.830976343,329.8395674,Safe
water_potability,4.430281212,282.6078236,Unsafe
water_potability,7.240739639,376.4932562,Safe
water_potability,,163.1635842,Safe
water_potability,6.867301322,314.6799103,Safe
water_potability,6.129637015,221.9025749,Unsafe
water_potability,7.917049443,233.2081285,Safe
water_potability,6.511618075,308.971878,Safe
water_potability,5.323815584,377.5835053,Unsafe
water_potability,6.769572869,188.2025991,Safe
water_potability,5.87797404,350.0220129,Unsafe
water_potability,9.534021716,168.763922,Unsafe
water_potability,6.340027628,283.0752971,Unsafe
water_potability,8.66159243,332.9802516,Unsafe
water_potability,5.653506135,177.0863629,Unsafe
water_potability,6.626012184,212.7112511,Safe
water_potability,7.793833573,241.2910325,Safe
water_potability,7.59312765,251.959222,Safe
water_potability,7.362736502,272.5179913,Safe
water_potability,9.320305445,324.8987086,Unsafe
water_potability,3.719791644,277.8723553,Unsafe
water_potability,6.655605026,218.9404456,Safe
water_potability,9.868877881,275.79034,Unsafe
water_potability,5.590614436,305.1185088,Unsafe
water_potability,5.554436511,199.4671419,Unsafe
water_potability,4.126528715,289.406947,Unsafe
water_potability,5.970035657,213.0613173,Unsafe
water_potability,,291.7499237,Safe
water_potability,8.369154354,320.7525359,Safe
water_potability,6.284248242,256.9196912,Unsafe
water_potability,11.26782838,205.7483162,Unsafe
water_potability,9.298018008,259.6602826,Unsafe
water_potability,7.895469246,265.0259412,Safe
water_potability,7.947485786,276.6580791,Safe
water_potability,10.02615916,336.383347,Unsafe
water_potability,6.48819324,210.9313966,Unsafe
water_potability,5.869736755,302.6507125,Unsafe
water_potability,,248.4285954,Safe
water_potability,5.30414266,323.5637538,Unsafe
water_potability,7.533614823,236.2791238,Safe
water_potability,4.077607725,187.4373755,Unsafe
water_potability,,233.2776989,Safe
water_potability,7.086168401,260.5878273,Safe
water_potability,6.271012171,353.2046333,Unsafe
water_potability,7.957768344,334.3741193,Safe
water_potability,8.875642278,308.6021374,Unsafe
water_potability,,300.5615919,Safe
water_potability,6.613709118,243.6007053,Safe
water_potability,7.735705022,386.9640213,Safe
water_potability,9.925041328,263.8351197,Unsafe
water_potability,9.00258311,238.2196237,Unsafe
water_potability,5.095766465,334.0204265,Unsafe
water_potability,8.594677108,382.7542764,Unsafe
water_potability,7.083779061,282.586015,Safe
water_potability,7.682872498,305.3931566,Safe
water_potability,,269.8876275,Safe
water_potability,6.419772474,340.3401141,Unsafe
water_potability,4.443238899,279.2041025,Unsafe
water_potability,6.978664262,305.5511584,Safe
water_potability,6.623613566,266.6581109,Safe
water_potability,3.664710562,189.2464918,Unsafe
water_potability,4.814135621,269.1199609,Unsafe
water_potability,5.779673705,278.5596115,Unsafe
water_potability,6.937818783,285.7562487,Safe
water_potability,7.436782609,339.8159245,Safe
water_potability,4.723312573,267.341766,Unsafe
water_potability,9.380658051,327.0609,Unsafe
water_potability,7.810144933,228.2709526,Safe
water_potability,9.436637164,305.344863,Unsafe
water_potability,9.406325753,226.1890009,Unsafe
water_potability,6.321259315,319.6474536,Unsafe
water_potability,,265.9935047,Safe
water_potability,4.705356496,240.6158082,Unsafe
water_potability,8.896418988,276.3974601,Unsafe
water_potability,6.581878202,228.4599456,Safe
water_potability,6.755145902,250.324521,Safe
water_potability,9.445129838,385.2283637,Unsafe
water_potability,9.024845037,293.2432627,Unsafe
water_potability,,309.1228156,Safe
water_potability,6.80011909,244.6967855,Safe
water_potability,7.174135163,205.107435,Safe
water_potability,7.657991237,270.8057228,Safe
water_potability,8.322986672,233.1718147,Safe
water_potability,5.934279093,180.2999492,Unsafe
water_potability,9.802720782,333.078675,Unsafe
water_potability,6.101955231,271.5983093,Unsafe
water_potability,4.997770601,193.447501,Unsafe
water_potability,4.815766791,312.9625384,Unsafe
water_potability,6.548020558,323.2591393,Safe
water_potability,13.17540172,325.1598687,Unsafe
water_potability,6.618010906,261.0853639,Safe
water_potability,7.788054733,233.719903,Safe
water_potability,5.191834327,252.6657767,Unsafe
water_potability,5.626339528,225.2595842,Unsafe
water_potability,6.869638941,350.65347,Safe
water_potability,9.058628424,301.2030164,Unsafe
water_potability,7.291888325,285.7720636,Safe
water_potability,7.275908774,242.6747002,Safe
water_potability,6.512737124,311.6758311,Safe
water_potability,7.207886781,304.5658387,Safe
water_potability,,409.0328109,Safe
water_potability,5.324941856,255.0739723,Unsafe
water_potability,7.082300649,229.4697472,Safe
water_potability,5.33418358,234.1164652,Unsafe
water_potability,10.7618978,255.2576532,Unsafe
water_potability,6.286806948,366.2326038,Unsafe
water_potability,9.794558699,277.6305665,Unsafe
water_potability,8.210443565,254.1947678,Safe
water_potability,6.941719438,243.4154661,Safe
water_potability,10.35611883,237.7181895,Unsafe
water_potability,7.958984292,212.9555227,Safe
water_potability,3.882631081,221.8392256,Unsafe
water_potability,5.671773833,242.1479078,Unsafe
water_potability,10.00330054,373.4607768,Unsafe
water_potability,6.552847474,310.1565394,Safe
water_potability,7.628552723,322.378541,Safe
water_potability,4.79084054,395.7504566,Unsafe
water_potability,7.710959939,335.5846539,Safe
water_potability,8.291299006,309.3409344,Safe
water_potability,6.193170101,253.1138854,Unsafe
water_potability,9.032660579,253.927197,Unsafe
water_potability,6.139493741,270.5552334,Unsafe
water_potability,7.12942473,210.1442949,Safe
water_potability,,331.114434,Safe
water_potability,5.418503763,295.4381921,Unsafe
water_potability,8.075494508,209.1364203,Safe
water_potability,,189.3799059,Safe
water_potability,10.04967372,287.7992323,Unsafe
water_potability,5.667650647,360.1783485,Unsafe
water_potability,,271.4602812,Safe
water_potability,8.923980608,270.1591645,Unsafe
water_potability,6.428866313,302.9288595,Unsafe
water_potability,6.960603502,304.5844025,Safe
water_potability,5.873675846,273.1892996,Unsafe
water_potability,6.79546901,324.1328532,Safe
water_potability,10.04102797,362.3659398,Unsafe
water_potability,,315.6707007,Safe
water_potability,7.296037734,250.6493085,Safe
water_potability,,244.2574657,Safe
water_potability,5.862641233,215.5205902,Unsafe
water_potability,7.292141805,282.8202112,Safe
water_potability,8.062805643,331.7693616,Safe
water_potability,7.82197094,191.5137454,Safe
water_potability,11.301794,267.056474,Unsafe
water_potability,6.593764313,318.3072385,Safe
water_potability,9.161088613,246.821368,Unsafe
water_potability,,189.0781567,Safe
water_potability,4.642953052,285.9638653,Unsafe
water_potability,7.798453676,329.6661474,Safe
water_potability,5.564342491,240.2110836,Unsafe
water_potability,7.886591227,211.9749776,Safe
water_potability,7.443189014,279.8167422,Safe
water_potability,3.657123133,277.0502339,Unsafe
water_potability,9.597191857,217.8784453,Unsafe
water_potability,6.964225943,245.7556046,Safe
water_potability,7.672909523,260.7415711,Safe
water_potability,6.737004072,249.8006375,Safe
water_potability,,301.4321155,Safe
water_potability,5.382489039,358.4595314,Unsafe
water_potability,7.022952113,268.2611252,Safe
water_potability,,363.8816006,Safe
water_potability,10.02622381,252.5037229,Unsafe
water_potability,5.583832998,181.1153752,Unsafe
water_potability,7.952929116,201.0155028,Safe
water_potability,5.500186641,305.3669938,Unsafe
water_potability,7.543700466,286.1842396,Safe
water_potability,6.848331559,363.2301184,Safe
water_potability,,317.19822,Safe
water_potability,5.910251729,451.9901932,Unsafe
water_potability,8.716820334,290.5682499,Unsafe
water_potability,6.016889136,249.0850536,Unsafe
water_potability,9.567822726,320.0674909,Unsafe
water_potability,4.296247024,214.5437964,Unsafe
water_potability,3.551579177,334.595897,Unsafe
water_potability,8.529669348,324.1230413,Unsafe
water_potability,8.065339036,323.0625024,Safe
water_potability,9.158445163,276.7388114,Unsafe
water_potability,8.848586283,311.8647836,Unsafe
water_potability,9.495456382,266.1431485,Unsafe
water_potability,8.052893916,213.4815217,Safe
water_potability,2.798549099,338.7413403,Unsafe
water_potability,6.425873866,326.9442071,Unsafe
water_potability,7.757269666,353.2937191,Safe
water_potability,7.748654706,286.9942057,Safe
water_potability,5.117390303,231.9604866,Unsafe
water_potability,7.481535362,336.9441222,Safe
water_potability,5.374222585,227.6157259,Unsafe
water_potability,7.063646976,261.6858413,Safe
water_potability,6.876451043,226.9709556,Safe
water_potability,4.812433652,394.5672525,Unsafe
water_potability,4.993530734,279.3880823,Unsafe
water_potability,4.788861062,289.1553085,Unsafe
water_potability,4.037287739,260.7827762,Unsafe
water_potability,6.505872509,172.4132791,Safe
water_potability,6.779773967,298.9197572,Safe
water_potability,6.952511674,257.0145525,Safe
water_potability,5.628406919,228.2547886,Unsafe
water_potability,5.966000489,264.4240965,Unsafe
water_potability,6.319431545,199.9993844,Unsafe
water_potability,8.02724787,286.6103357,Safe
water_potability,8.882684452,346.0188285,Unsafe
water_potability,5.991283475,393.0103209,Unsafe
water_potability,10.27244427,290.1929714,Unsafe
water_potability,,254.1207715,Safe
water_potability,6.105140135,204.7273083,Unsafe
water_potability,9.443358884,298.1402005,Unsafe
water_potability,6.887414371,251.3048606,Safe
water_potability,6.512900833,192.4483483,Safe
water_potability,5.772718095,302.6135358,Unsafe
water_potability,4.912557262,212.8591728,Unsafe
water_potability,9.739561949,240.2343379,Unsafe
water_potability,5.541979019,336.6582606,Unsafe
water_potability,,250.045169,Safe
water_potability,,327.3816553,Safe
water_potability,6.448931033,307.938346,Unsafe
water_potability,5.477912295,232.7286845,Unsafe
water_potability,8.544708662,256.0282501,Unsafe
water_potability,7.378597016,261.3129642,Safe
water_potability,6.66400305,225.7796684,Safe
water_potability,6.775582812,233.16649,Safe
water_potability,8.736371211,216.855466,Unsafe
water_potability,7.146976296,338.0723828,Safe
water_potability,,382.5683633,Safe
water_potability,5.040331692,343.8841479,Unsafe
water_potability,,226.172374,Safe
water_potability,7.745499128,273.9654672,Safe
water_potability,6.259651603,247.1561253,Unsafe
water_potability,8.59639118,226.2269678,Unsafe
water_potability,5.767349597,275.8997488,Unsafe
water_potability,7.088940642,240.4800666,Safe
water_potability,8.029181613,280.3480655,Safe
water_potability,,362.324221,Safe
water_potability,4.725785565,267.2244154,Unsafe
water_potability,8.19576536,262.0734435,Safe
water_potability,6.443753668,229.0298548,Unsafe
water_potability,7.039094321,385.7075459,Safe
water_potability,,204.0212013,Safe
water_potability,,271.994834,Safe
water_potability,6.945224092,239.1986853,Safe
water_potability,5.742110407,323.792551,Unsafe
water_potability,5.59662785,359.0006586,Unsafe
water_potability,7.350378987,362.3721951,Safe
water_potability,6.262798867,368.567728,Unsafe
water_potability,9.927023723,313.8475829,Unsafe
water_potability,5.381407519,200.6743684,Unsafe
water_potability,4.961352728,291.9456745,Unsafe
water_potability,6.457097525,336.3309279,Unsafe
water_potability,6.53936951,346.1723101,Safe
water_potability,6.252410005,314.9807643,Unsafe
water_potability,7.967344823,250.9359653,Safe
water_potability,,347.9465285,Safe
water_potability,7.60952119,240.676072,Safe
water_potability,6.887863944,286.6516976,Safe
water_potability,9.879071258,287.5193662,Unsafe
water_potability,7.63876177,256.2176399,Safe
water_potability,6.961891686,344.6439164,Safe
water_potability,8.060609624,275.223545,Safe
water_potability,7.240271791,211.5020099,Safe
water_potability,7.486779709,289.0410762,Safe
water_potability,8.410460643,337.3705563,Safe
water_potability,6.143921454,305.4891606,Unsafe
water_potability,6.09617989,283.2594538,Unsafe
water_potability,6.384824009,284.5231449,Unsafe
water_potability,9.462666017,315.7032282,Unsafe
water_potability,7.868147086,357.1197388,Safe
water_potability,5.873157137,229.0964267,Unsafe
water_potability,,347.1846765,Safe
water_potability,6.529304448,274.8314115,Safe
water_potability,5.152203722,227.5032356,Unsafe
water_potability,7.858662779,243.1473491,Safe
water_potability,7.704410252,258.3097789,Safe
water_potability,6.728004386,211.5994006,Safe
water_potability,10.46450248,324.3057424,Unsafe
