ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,Source,Classification,Reason,Record Number,pH (pouvoir hydrogene),TDS (Total Dissolved Solids),pH,TDS,STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
,204.8904555,20791.31898,7.300211873,368.5164413,564.3086542,10.37978308,86.99097046,2.963135381,0.0,water_potability,Very Good,Conductivity 564.3086542 (Slightly elevated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.716080075,129.4229205,18630.05786,6.635245884,,592.8853591,15.18001312,56.32907628,4.500656275,0.0,water_potability,Fair,pH 3.716080075 (Critical); Conductivity 592.8853591 (Slightly elevated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.099124189,224.2362594,19909.54173,9.275883603,,418.6062131,16.86863693,66.42009251,3.05593375,0.0,water_potability,Good,pH 8.099124189 (Acceptable range); Conductivity 418.6062131 (Slightly elevated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.316765884,214.3733941,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,0.0,water_potability,Very Good,pH 8.316765884 (Acceptable range); Conductivity 363.2665162 (Pure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.092223456,181.1015092,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,31.99799273,4.075075425,0.0,water_potability,Good,pH 9.092223456 (Critical); Conductivity 398.4108134 (Pure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.584086638,188.3133238,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,54.91786184,2.559708228,0.0,water_potability,Good,pH 5.584086638 (Critical); Conductivity 280.4679159 (Pure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.22386216,248.0717353,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,84.60355617,2.672988737,0.0,water_potability,Good,pH 10.22386216 (Critical); Conductivity 283.6516335 (Pure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.635848719,203.3615226,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,62.79830896,4.401424715,0.0,water_potability,Good,pH 8.635848719 (Out of range); Conductivity 474.6076449 (Slightly elevated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,118.9885791,14285.58385,7.804173553,268.6469407,389.3755659,12.70604897,53.92884577,3.595017181,0.0,water_potability,Very Good,Conductivity 389.3755659 (Pure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.18028447,227.2314692,25484.50849,9.077200017,404.0416347,563.8854815,17.92780641,71.97660103,4.370561937,0.0,water_potability,Fair,pH 11.18028447 (Critical); Conductivity 563.8854815 (Slightly elevated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
